nombre,fecha_captura,dispositivo,hash_sha256
02-08-2026_Casilleros_trabajadores.png,2026-08-02 21:18:16,Apple iPhone (perfil de color ICC Display P3),e5eb2adc0ff8de4e42fb45652f4bfc58bc25215997aaa2b5ffc06afea4ba6503
02-08-2026_Alamcenamiento_de_carnes_dentro_de_canales_y_cortes.png,2026-08-02 21:20:51,Apple iPhone (perfil de color ICC Display P3),090117c91bd7516512512eda2898649c80994ab7d18d2395375af67686adf8f8
02-08-2026_Almacenamiento_en_bodegas.png,2026-08-02 21:22:03,Apple iPhone (perfil de color ICC Display P3),09ed233e6576f89ce9542c717a3a9b9b2c9e7572e39753972310710253d46898
02-08-2026_Area_Trabajo_para_cortes.png,2026-08-02 21:24:22,Apple iPhone (perfil de color ICC Display P3),30177de5c89e53aac828ba21b4c5cb9c3086ff36b7c897fafdffd217a0b1f699
02-08-2026_Camaras_de_seguridad_oficina.png,2026-08-02 21:29:53,Apple iPhone (perfil de color ICC Display P3),df48fe41951ddde4b41bf3194dcc5dd1039d4ab3c98edbcfd4bd442ea7798114
02-08-2026_Camion_transporte_productos_carnicos.png,2026-08-02 21:33:11,Apple iPhone (perfil de color ICC Display P3),9115b5a98f297b812c15fda98be3902dbeead7ff6839a4cd6fd565923b1f636e
02-08-2026_Canales_de_res_colgadas_en_camara_frigorifica.png,2026-08-02 21:34:30,Apple iPhone (perfil de color ICC Display P3),97e31d9d7c6bc5647f7ed5db51c2dbfdcf0cadc67f4996365909d79f990b7199
02-08-2026_Cortes_de_carne_emplasticados_y_almacenados.png,2026-08-02 21:36:52,Apple iPhone (perfil de color ICC Display P3),8950da0870caf477ef5c2fc1d18d538ab13c399cbd3666e60548ad51f27f3780
02-08-2026_Inventario_mixto_carne_vacuna.png,2026-08-02 21:38:05,Apple iPhone (perfil de color ICC Display P3),1b9201f22d5a99614cd6dba19d752e321c4781814837fcdd939e53ad7a226626
02-08-2026_Oficina_propietaria.png,2026-08-02 21:43:31,Apple iPhone (perfil de color ICC Display P3),996b924549b62e60eb15d125e936bcafb5ce25728d947f0df06c18c8fa2bcd7f
02-08-2026_Proceso_cortes_carnes.png,2026-08-02 21:44:42,Apple iPhone (perfil de color ICC Display P3),bcef36ad45baf858bd91e047606744e4263d70d545eeb121d131f7188605b934
02-08-2026_Proceso_envasado_al_vacio_productos_carnicos.png,2026-08-02 21:49:06,Apple iPhone (perfil de color ICC Display P3),6718f92ab0644384a6424f346a52843d8b2302ed07ce0924634446e731a56595
